
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        2
 1.28687 -0.211031  2 
 1.28198 -0.219277  2 
 1.27509 -0.230522  2 
 1.26804 -0.241767  2 
 1.26083 -0.253012  2 
 1.25859 -0.256409  2 
 1.25262 -0.264257  2 
 1.24391 -0.275502  2 
 1.23511 -0.286747  2 
 1.2303 -0.292787  2 
 1.22553 -0.297992  2 
 1.21509 -0.309237  2 
 1.20466 -0.320482  2 
 1.20202 -0.323288  2 
 1.19288 -0.331727  2 
 1.18074 -0.342972  2 
 1.17374 -0.349456  2 
 1.16782 -0.354217  2 
 1.15386 -0.365462  2 
 1.14545 -0.372287  2 
 1.13919 -0.376707  2 
 1.12337 -0.387952  2 
 1.11717 -0.392397  2 
 1.10627 -0.399197  2 
 1.08889 -0.410281  2 
 1.0886 -0.410442  2 
 1.06843 -0.421687  2 
 1.06061 -0.426146  2 
 1.04697 -0.432932  2 
 1.03232 -0.440387  2 
 1.02381 -0.444177  2 
 1.00404 -0.453182  2 
 0.998429 -0.455422  2 
 0.975758 -0.464692  2 
 0.97027 -0.466667  2 
 0.947475 -0.475073  2 
 0.938787 -0.477912  2 
 0.919192 -0.484474  2 
 0.903549 -0.489157  2 
 0.890909 -0.493037  2 
 0.864373 -0.500402  2 
 0.862626 -0.500899  2 

# Contour 3, label: 
 0.0141414  0.985623  2 
 0.0158009  0.983936  2 
 0.0265489  0.972691  2 
 0.0372146  0.961446  2 
 0.0424242  0.955849  2 
 0.0476904  0.950201  2 
 0.0580031  0.938956  2 
 0.0682831  0.927711  2 
 0.0707071  0.925002  2 
 0.0783964  0.916466  2 
 0.0884683  0.905221  2 
 0.0985588  0.893976  2 
 0.0989899  0.893484  2 
 0.108532  0.882731  2 
 0.118558  0.871486  2 
 0.127273  0.861745  2 
 0.12864  0.860241  2 
 0.138706  0.848996  2 
 0.148892  0.837751  2 
 0.155556  0.830416  2 
 0.15918  0.826506  2 
 0.169569  0.815261  2 
 0.18015  0.804016  2 
 0.183838  0.800092  2 
 0.190898  0.792771  2 
 0.201874  0.781526  2 
 0.212121  0.77126  2 
 0.213128  0.770281  2 
 0.22466  0.759036  2 
 0.236557  0.747791  2 
 0.240404  0.744184  2 
 0.248847  0.736546  2 
 0.261597  0.725301  2 
 0.268687  0.719182  2 
 0.274872  0.714056  2 
 0.288749  0.702811  2 
 0.29697  0.696339  2 
 0.303315  0.691566  2 
 0.318681  0.680321  2 
 0.325253  0.675645  2 
 0.334975  0.669076  2 
 0.352323  0.657831  2 
 0.353535  0.657059  2 
 0.370981  0.646586  2 
 0.381818  0.640358  2 
 0.391115  0.635341  2 
 0.410101  0.625515  2 
 0.413032  0.624096  2 
 0.437141  0.612851  2 
 0.438384  0.61229  2 
 0.463933  0.601606  2 
 0.466667  0.600506  2 
 0.494008  0.590361  2 
 0.494949  0.590025  2 
 0.523232  0.580633  2 
 0.528169  0.579116  2 
 0.551515  0.572185  2 
 0.567273  0.567871  2 
